valid,tmpf,dwpf,relh,sknt,skyc1,skyl1,feel
2018-01-01,6,3,5,13,0,1,3
2018-01-02,10,6,8,13,0,2,1
2018-01-03,1,2,0,1,4,8,13
2018-01-04,5,2,11,10,4,0,13
2018-01-05,12,3,7,12,0,5,13
2018-01-06,6,6,4,8,0,1,3
2018-01-07,1,0,10,13,7,10,9
2018-01-08,10,7,10,8,4,10,13
2018-01-09,11,0,10,13,2,10,9
2018-01-10,10,0,10,8,7,4,1
2018-01-11,10,0,10,8,2,10,1
2018-01-12,10,11,10,8,12,4,1
2018-01-13,5,0,10,10,5,10,13
2018-01-14,5,2,6,3,5,5,6
2018-01-15,6,6,6,14,2,4,13
2018-01-16,10,9,6,13,8,11,1
2018-01-17,4,6,1,10,0,7,5
2018-01-18,10,12,12,3,4,12,1
2018-01-19,1,8,14,1,0,8,13
2018-01-20,4,0,9,10,0,2,5
2018-01-21,4,0,9,12,8,6,1
2018-01-22,5,2,11,7,8,8,13
2018-01-23,5,3,8,10,8,4,6
2018-01-24,7,12,1,2,8,0,7
2018-01-25,7,8,1,3,1,2,7
2018-01-26,12,14,1,4,1,8,6
2018-01-27,5,3,8,11,8,1,6
2018-01-28,12,3,8,4,1,2,3
2018-01-29,6,3,0,8,0,2,3
2018-01-30,6,3,4,8,0,2,3
2018-01-31,6,6,0,8,0,8,3
2018-02-01,1,6,4,13,0,4,3
2018-02-02,11,0,6,0,8,5,9
2018-02-03,4,11,9,11,5,4,5
2018-02-04,4,9,9,4,0,11,5
2018-02-05,10,2,6,7,1,11,13
2018-02-06,1,2,8,13,0,1,13
2018-02-07,11,0,9,8,5,8,9
2018-02-08,4,9,3,14,4,5,5
2018-02-09,10,6,8,8,1,1,1
2018-02-10,11,0,6,10,1,0,9
2018-02-11,10,2,6,10,1,11,1
2018-02-12,10,3,8,8,1,12,13
2018-02-13,11,6,8,10,0,2,9
2018-02-14,10,2,11,6,7,8,13
2018-02-15,12,6,10,8,0,0,3
2018-02-16,5,6,6,11,13,5,13
2018-02-17,10,6,8,12,12,2,13
2018-02-18,6,6,4,13,0,2,3
2018-02-19,5,9,6,14,4,0,13
2018-02-20,5,6,10,12,0,0,13
2018-02-21,1,0,10,8,1,10,13
2018-02-22,10,0,4,13,8,10,1
2018-02-23,1,0,10,14,3,5,13
2018-02-24,10,9,0,12,10,6,1
2018-02-25,5,9,6,13,12,12,13
2018-02-26,10,9,4,12,8,5,1
2018-02-27,11,6,0,5,8,2,9
2018-02-28,10,2,5,6,1,5,1
2018-03-01,6,3,8,13,8,4,3
2018-03-02,11,0,9,1,1,5,5
2018-03-03,9,9,5,14,8,1,14
2018-03-04,9,0,8,13,0,2,5
2018-03-05,9,7,10,1,7,10,5
2018-03-06,14,0,1,10,4,5,2
2018-03-07,14,9,2,6,0,1,2
2018-03-08,4,2,2,4,1,3,5
2018-03-09,10,3,7,8,13,6,1
2018-03-10,11,6,5,8,6,13,9
2018-03-11,11,6,0,13,6,13,9
2018-03-12,11,7,4,14,12,14,14
2018-03-13,9,9,11,10,1,5,14
2018-03-14,9,2,2,10,1,6,5
2018-03-15,4,2,1,6,1,14,5
2018-03-16,9,6,8,1,0,1,5
2018-03-17,8,11,11,1,0,1,14
2018-03-18,9,9,8,1,0,1,5
2018-03-19,4,0,8,7,0,2,5
2018-03-20,9,6,1,12,1,6,5
2018-03-21,11,0,9,7,1,14,9
2018-03-22,9,7,4,1,0,4,5
2018-03-23,4,2,1,4,8,2,5
2018-03-24,10,6,5,1,9,8,1
2018-03-25,9,6,1,14,8,2,14
2018-03-26,4,9,1,6,0,2,5
2018-03-27,9,6,1,1,0,11,14
2018-03-28,10,9,8,14,8,4,1
2018-03-29,1,2,0,12,0,5,13
2018-03-30,11,6,5,1,0,4,9
2018-03-31,9,0,9,14,1,8,14
2018-04-01,9,9,13,4,0,2,14
2018-04-02,9,6,7,13,1,8,1
2018-04-03,11,2,5,13,0,1,9
2018-04-04,11,3,13,8,0,1,9
2018-04-05,9,6,13,13,0,1,14
2018-04-06,9,0,9,1,0,8,5
2018-04-07,4,9,2,14,1,8,5
2018-04-08,14,2,14,11,0,1,2
2018-04-09,9,6,7,12,0,4,5
2018-04-10,11,6,5,13,0,5,9
2018-04-11,9,0,8,8,0,9,14
