valid,tmpf,dwpf,relh,sknt,skyc1,skyl1,feel
2018-01-01 00:00:00,36.5,30.2,77.745,0.5,1.0,3500.0,36.5
2018-01-01 01:00:00,34.7,31.1,86.53999999999999,3.5,1.0,3500.0,32.235
2018-01-01 02:00:00,32.9,29.299999999999997,86.44,3.5,1.0,3500.0,29.085
2018-01-01 03:00:00,35.6,30.2,80.51,3.5,1.0,3500.0,32.21
2018-01-01 04:00:00,35.599999999999994,30.2,80.735,3.0,1.0,3500.0,33.46
2018-01-01 05:00:00,38.3,30.2,72.43,1.5,1.0,3000.0,38.3
2018-01-01 06:00:00,42.8,33.8,70.495,1.5,1.0,3000.0,42.8
2018-01-01 07:00:00,50.0,35.6,57.52,0.5,1.0,3000.0,50.0
2018-01-01 08:00:00,56.3,36.5,47.3,2.0,1.0,3000.0,56.3
2018-01-01 09:00:00,59.0,37.400000000000006,44.57,4.5,1.0,3000.0,59.0
2018-01-01 10:00:00,60.8,40.1,46.379999999999995,3.5,1.0,3000.0,60.8
2018-01-01 11:00:00,64.4,30.2,27.615000000000002,3.0,1.0,3000.0,64.4
2018-01-01 12:00:00,61.7,39.2,43.379999999999995,7.0,1.0,3000.0,61.7
2018-01-01 13:00:00,59.9,39.2,46.239999999999995,5.5,1.0,3000.0,59.9
2018-01-01 14:00:00,59.0,38.3,46.095,5.5,1.0,3000.0,59.0
2018-01-01 15:00:00,57.2,38.3,49.175,7.5,1.0,3000.0,57.2
2018-01-01 16:00:00,56.3,40.1,54.59,10.5,1.0,3000.0,56.3
2018-01-01 17:00:00,54.5,41.0,60.25,7.0,1.0,3000.0,54.5
2018-01-01 18:00:00,53.6,41.9,64.465,7.0,1.0,3000.0,53.6
2018-01-01 19:00:00,51.8,41.9,68.87,5.0,1.0,3000.0,51.8
2018-01-01 20:00:00,50.0,41.0,71.07,2.5,1.0,3000.0,50.0
2018-01-01 21:00:00,47.3,40.1,75.92500000000001,3.0,1.0,3000.0,46.370000000000005
2018-01-01 22:00:00,52.7,42.8,68.98,3.5,1.0,3000.0,52.7
2018-01-01 23:00:00,52.7,42.8,68.98,5.5,1.0,3000.0,52.7
2018-01-02 00:00:00,51.8,42.8,71.25999999999999,1.5,1.0,3000.0,51.8
2018-01-02 01:00:00,55.4,44.6,66.91,3.0,1.0,3000.0,55.4
2018-01-02 02:00:00,54.5,42.8,64.58,6.0,1.0,3000.0,54.5
2018-01-02 03:00:00,53.6,42.8,66.7,3.5,1.0,3000.0,53.6
2018-01-02 04:00:00,52.7,42.8,68.98,1.5,1.0,3000.0,52.7
2018-01-02 05:00:00,52.7,42.8,68.98,1.5,1.0,3000.0,52.7
2018-01-02 06:00:00,55.4,44.6,66.91,6.0,1.0,3000.0,55.4
2018-01-02 07:00:00,58.1,44.6,60.730000000000004,7.5,1.0,3000.0,58.1
2018-01-02 08:00:00,58.1,44.6,60.730000000000004,7.5,1.0,3000.0,58.1
2018-01-02 09:00:00,59.9,43.7,55.11,9.5,1.0,3000.0,59.9
2018-01-02 10:00:00,60.8,42.8,51.45,10.5,1.0,3000.0,60.8
2018-01-02 11:00:00,61.7,42.8,49.865,3.5,1.0,3000.0,61.7
2018-01-02 12:00:00,62.6,41.0,45.04,7.0,1.0,3000.0,62.6
2018-01-02 13:00:00,61.7,40.1,44.9,6.5,1.0,3000.0,61.7
2018-01-02 14:00:00,59.9,40.1,47.97,4.5,1.0,3000.0,59.9
2018-01-02 15:00:00,54.5,41.9,62.485,4.5,1.0,3000.0,54.5
2018-01-02 16:00:00,53.6,44.6,71.45,6.0,1.0,3000.0,53.6
2018-01-02 17:00:00,53.6,44.6,71.45,3.5,1.0,3000.0,53.6
2018-01-02 18:00:00,50.9,42.8,73.72,2.5,1.0,3000.0,50.535
