network,country,state,region,location,lat,lon,spread,start,end,cause
GR__ASOS,GR,,Attica,Kineta-Geraneia,38.021,23.1352,56133.0,2018-07-23 12:03:00,2018-08-02 19:30:00,Human negligence
GR__ASOS,GR,,Attica,Daou Penteli-Neos Voutzas-Mati,38.0436,23.9783,12759.0,2018-07-23 16:41:00,2018-09-10 09:04:00,Human negligence
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΑ ΜΑΡΙΝΑ ΞΥΛΙΑΤΟΥ,35.0421726788349,33.0497122875862,0.2425,2012-05-01 15:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΦΙΝΟΥ ,34.854889513744325,33.41612362675488,7.5,2012-05-13 13:25:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΛΑΤΑΝΙΣΤΑΣΑ ,35.02216772542044,33.0756464253805,0.175,2012-05-24 15:25:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΑΓΙΑ ΝΑΠΑ ,34.989203885964585,34.01246609221105,1.0,2012-05-25 13:25:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΤΩ ΚΟΥΤΡΑΦΑΣ,35.07260286642031,32.96675477291161,0.11,2012-05-30 11:05:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΒΔΕΛΛΕΡΟ ,35.00038908978598,33.54322279140808,4.0,2012-06-10 10:15:00,,Άλλη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΟΥΤΟΥΛΛΑΣ ,34.98291490580239,32.815143248206695,0.026,2012-06-20 17:15:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΟΥΤΟΥΛΛΑΣ ,34.97448616170374,32.849682306041984,0.05,2012-06-20 15:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.906765800037974,32.345930454766886,0.0002,2012-06-20 15:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΜΟΝΙΑΤΗΣ,34.86816121823971,32.91627805914473,0.02,2012-06-22 01:30:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΑΨΙΟΥ ,34.81080241543325,33.04446694425318,0.0514,2012-06-24 17:40:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,34.991885134461675,33.131042182952854,1.24,2012-06-27 10:30:00,,Σκόπιμη
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΛΙΟΠΕΤΡΙ ,34.97051356190404,33.89879384049762,0.1,2012-07-02 12:30:00,,Δασικές εργασίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΝΕΟ ΧΩΡΙΟ,35.04176249250041,32.35586423253076,197.6,2012-07-03 09:10:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.957716084609096,32.318472449780444,26.32,2012-07-03 15:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΦΙΝΟΥ ,34.85119867613877,33.398055953090186,0.2,2012-07-03 13:24:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΠΕΔΕΣ ,34.98449146584794,33.27987599127471,0.3,2012-07-12 11:25:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΟΥΚΛΙΑ ,34.683156571147265,32.61981279112128,0.0042,2012-07-16 11:30:00,,Άλλη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.94655207784835,33.40286400216866,0.3,2012-07-17 08:40:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΛΑΓΕΙΑ ,34.85203675418355,33.23556128197892,2.2,2012-07-22 11:20:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.92159760027557,32.601648208400384,0.04,2012-08-01 20:55:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΡΓΑΚΑ ,35.0656415422501,32.49301994752181,0.7948,2012-08-07 12:15:00,,Σκόπιμη
