elevation,sname,state,country,tzname,county,sid,network,start,end,lat,lon
3.9376411,Alexandroupoli,,GR,Europe/Athens,,LGAL,GR__ASOS,1932,,40.8562,25.945
12.0,Andravida,,GR,Europe/Athens,,LGAD,GR__ASOS,1965,,37.9207,21.2926
94.0,Athens,,GR,Europe/Athens,,LGAV,GR__ASOS,2004,,37.9364,23.9445
135.0,Chania,,GR,Europe/Athens,,LGSA,GR__ASOS,1932,,35.4833,24.1167
4.0,Chios,,GR,Europe/Athens,,LGHI,GR__ASOS,1991,,38.3432,26.1406
4.0,Cyclades Islands,,GR,Europe/Athens,,LGNX,GR__ASOS,2004,,37.0833,25.3667
31.0,Elefsis,,GR,Europe/Athens,,LGEL,GR__ASOS,1965,,38.0638,23.556
39.0,Heraklion,,GR,Europe/Athens,,LGIR,GR__ASOS,1932,,35.3397,25.1803
476.0,Ioannina,,GR,Europe/Athens,,LGIO,GR__ASOS,1932,,39.6964,20.8225
8.0,Kalamata,,GR,Europe/Athens,,LGKL,GR__ASOS,1973,,37.0683,22.0255
20.0,Karpathos,,GR,Europe/Athens,,LGKP,GR__ASOS,1998,,35.4214,27.146
5.0,Kavala,,GR,Europe/Athens,,LGKV,GR__ASOS,1991,,40.9133,24.6192
18.0,Keffallinia,,GR,Europe/Athens,,LGKF,GR__ASOS,1965,,38.1201,20.5005
2.0,Kerkyra/corfu,,GR,Europe/Athens,,LGKR,GR__ASOS,1932,,39.6167,19.9167
319.0,Kithira,,GR,Europe/Athens,,LGKC,GR__ASOS,1933,,36.2743,23.017
125.0,Kos,,GR,Europe/Athens,,LGKO,GR__ASOS,1982,,36.8007,27.0908
628.0,Kozani,,GR,Europe/Athens,,LGKZ,GR__ASOS,1938,,40.3,21.7833
74.0,Larissa,,GR,Europe/Athens,,LGLR,GR__ASOS,1932,2012,39.6333,22.4167
5.0,Limnos,,GR,Europe/Athens,,LGLM,GR__ASOS,1977,,39.9171,25.2363
123.0,Mykonos,,GR,Europe/Athens,,LGMK,GR__ASOS,1991,,37.4333,25.35
17.0,Mytilini,,GR,Europe/Athens,,LGMT,GR__ASOS,1960,,39.0567,26.5983
26.0,Nea Anghialos,,GR,Europe/Athens,,LGBL,GR__ASOS,1965,,39.2196,22.7943
141.74448,NSA Souda Bay,,GR,Europe/Athens,,EQYG,GR__ASOS,2018,2020,35.53,24.15
36.0,Paros,,GR,Europe/Athens,,LGPA,GR__ASOS,2004,,37.0103,25.128
15.0,Patras,,GR,Europe/Athens,,LGRX,GR__ASOS,1942,,38.1511,21.4256
4.0,Preveza,,GR,Europe/Athens,,LGPZ,GR__ASOS,1972,,38.6167,20.7667
5.0,Rhodos,,GR,Europe/Athens,,LGRP,GR__ASOS,1935,,36.4054,28.0862
6.0,Samos,,GR,Europe/Athens,,LGSM,GR__ASOS,1978,,37.69,26.9117
15.0,Skiathos,,GR,Europe/Athens,,LGSK,GR__ASOS,1991,,39.1771,23.5037
15.0,Skiros,,GR,Europe/Athens,,LGSY,GR__ASOS,1949,,38.9676,24.4872
72.0,Syros Island,,GR,Europe/Athens,,LGSO,GR__ASOS,1998,,37.4228,24.9509
148.0,Tanagra,,GR,Europe/Athens,,LGTG,GR__ASOS,1965,2012,38.3167,23.5333
7.0,Thessaloniki,,GR,Europe/Athens,,LGTS,GR__ASOS,1960,,40.5197,22.971
40.0,Thira,,GR,Europe/Athens,,LGSR,GR__ASOS,1991,,36.3992,25.4793
3.0,Zakynthos,,GR,Europe/Athens,,LGZA,GR__ASOS,1991,,37.7508,20.8842
23.0,Akrotiri,,CY,Asia/Nicosia,,LCRA,CY__ASOS,1960,,34.5904,32.9879
20.0,Geçitkale,,CY,Asia/Nicosia,,LCGK,CY__ASOS,1986,2012,35.2526,33.7358
2.0,Larnaca,,CY,Asia/Nicosia,,LCLK,CY__ASOS,1976,,34.8733,33.6172
91.0,Nicosia,,CY,Asia/Nicosia,,LCEN,CY__ASOS,2011,,35.1489,33.4997
161.0,NICOSIA/ATHALASSA,,CY,Asia/Nicosia,,LCNC,CY__ASOS,1990,2020,35.1408,33.3964
8.0,Paphos,,CY,Asia/Nicosia,,LCPH,CY__ASOS,1948,,34.7194,32.4847
